#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
d1atia2d.104.1.1     -            394 d12asa_d.104.1.1.aln -            312    2e-138  456.2   4.9   1   1  4.3e-140  2.4e-138  455.9   4.9     1   312    11   339    11   339 1.00 -
d1b8aa2d.104.1.1     -            335 d12asa_d.104.1.1.aln -            312   6.6e-86  283.7   6.6   1   1   1.3e-87   7.4e-86  283.5   6.6     2   309     4   334     3   335 0.99 -
d1wu7a2d.104.1.1     -            327 d12asa_d.104.1.1.aln -            312   6.3e-80  264.0   0.2   1   1   1.3e-81   7.1e-80  263.9   0.2     2   311     5   318     4   319 0.99 -
d1h4vb2d.104.1.1     -            324 d12asa_d.104.1.1.aln -            312     1e-75  250.2   5.0   1   1     2e-77   1.1e-75  250.0   5.0     2   312     3   315     2   315 0.99 -
d1z7ma1d.104.1.1     -            318 d12asa_d.104.1.1.aln -            312   1.9e-72  239.5   0.1   1   1   3.7e-74   2.1e-72  239.3   0.1     2   311     2   312     1   313 0.99 -
d1qf6a4d.104.1.1     -            291 d12asa_d.104.1.1.aln -            312   3.6e-67  222.1   0.3   1   1     7e-69     4e-67  222.0   0.3     7   310     2   291     1   291 0.99 -
d1nnha_d.104.1.1     -            293 d12asa_d.104.1.1.aln -            312   2.3e-63  209.6   2.1   1   1   4.5e-65   2.5e-63  209.5   2.1     7   309     3   291     1   293 0.98 -
d1g5ha2d.104.1.1     -            290 d12asa_d.104.1.1.aln -            312   2.9e-61  202.7   0.0   1   1   5.8e-63   3.3e-61  202.6   0.0     1   312     6   290     6   290 0.99 -
d1seta2d.104.1.1     -            311 d12asa_d.104.1.1.aln -            312   6.2e-61  201.6   1.9   1   1   1.2e-62   6.9e-61  201.5   1.9    10   311     2   305     1   306 0.99 -
d1j5wa_d.104.1.1     -            281 d12asa_d.104.1.1.aln -            312   1.7e-56  187.1   1.7   1   1   3.3e-58   1.8e-56  186.9   1.7     6   304     2   280     1   281 0.99 -
d1hc7a2d.104.1.1     -            272 d12asa_d.104.1.1.aln -            312   3.8e-54  179.3   2.7   1   1   7.9e-56   4.5e-54  179.1   2.7    19   309     9   271     2   272 0.97 -
d1usya_d.104.1.1     -            275 d12asa_d.104.1.1.aln -            312   3.6e-50  166.3   0.0   1   1   7.1e-52     4e-50  166.1   0.0    16   307     3   275     1   275 0.98 -
d1yfsa2d.104.1.1     -            236 d12asa_d.104.1.1.aln -            312   2.1e-45  150.6   0.4   1   1   4.2e-47   2.4e-45  150.4   0.4    33   294     3   234     1   236 0.99 -
d1jjcb5d.104.1.1     -            207 d12asa_d.104.1.1.aln -            312   7.6e-26   86.4   1.3   1   1   1.5e-27   8.3e-26   86.3   1.3    25   266     2   204     1   207 0.97 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      hmmModels30/d12asa_d.104.1.1.hmm
# Target file:     scop/scopTestSeq.fasta
# Option settings: hmmsearch --domtblout hmmModels30/d12asa_d.104.1.1.out -E 1 hmmModels30/d12asa_d.104.1.1.hmm scop/scopTestSeq.fasta 
# Current dir:     /home/anastasia/SBAS/TME8
# Date:            Sat Apr  8 15:33:42 2023
# [ok]
#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
d1dqna_c.61.1.1      -            230 d1a3ca_c.61.1.1.aln  -            213     3e-82  270.4   0.0   1   1   6.3e-84   3.6e-82  270.2   0.0     1   213     1   206     1   206 0.99 -
d1fsga_c.61.1.1      -            233 d1a3ca_c.61.1.1.aln  -            213   2.4e-71  234.8   0.0   1   1   4.7e-73   2.6e-71  234.7   0.0     2   212    16   227    15   228 0.99 -
d1qb7a_c.61.1.1      -            236 d1a3ca_c.61.1.1.aln  -            213   1.3e-66  219.4   0.0   1   1   2.5e-68   1.4e-66  219.2   0.0     2   213    15   227    14   227 0.99 -
d1ecfa1c.61.1.1      -            243 d1a3ca_c.61.1.1.aln  -            213   1.1e-62  206.5   0.3   1   1   2.2e-64   1.2e-62  206.3   0.3     1   213    16   236    16   236 0.99 -
d1p4aa2c.61.1.1      -            202 d1a3ca_c.61.1.1.aln  -            213   4.8e-52  171.7   0.1   1   1   9.4e-54   5.3e-52  171.6   0.1     1   204     1   202     1   202 0.99 -
d1xtta1c.61.1.1      -            215 d1a3ca_c.61.1.1.aln  -            213   9.4e-52  170.8   1.5   1   1   1.9e-53     1e-51  170.6   1.5     1   207     4   215     4   215 0.99 -
d1wd5a_c.61.1.1      -            208 d1a3ca_c.61.1.1.aln  -            213     3e-50  165.8   0.3   1   1     6e-52   3.4e-50  165.7   0.3     8   212     1   207     1   208 0.99 -
d1tc1a_c.61.1.1      -            184 d1a3ca_c.61.1.1.aln  -            213   3.4e-50  165.7   0.1   1   1   6.7e-52   3.8e-50  165.5   0.1    29   211     2   184     1   184 0.98 -
d2aeea1c.61.1.1      -            208 d1a3ca_c.61.1.1.aln  -            213   2.1e-48  159.8   0.0   1   1   4.2e-50   2.4e-48  159.6   0.0     5   213     1   204     1   204 0.99 -
d1y0ba1c.61.1.1      -            191 d1a3ca_c.61.1.1.aln  -            213   1.5e-45  150.5   0.2   1   1   2.9e-47   1.6e-45  150.4   0.2     8   197     2   190     1   191 0.98 -
d1vdma1c.61.1.1      -            153 d1a3ca_c.61.1.1.aln  -            213   1.7e-42  140.5   0.3   1   1   3.4e-44   1.9e-42  140.4   0.3    31   200     1   152     1   153 0.98 -
d1vcha1c.61.1.1      -            174 d1a3ca_c.61.1.1.aln  -            213   4.2e-41  136.0   0.0   1   1   8.2e-43   4.6e-41  135.8   0.0     6   180     2   174     1   174 0.98 -
d1nula_c.61.1.1      -            150 d1a3ca_c.61.1.1.aln  -            213   5.3e-37  122.6   0.0   1   1     1e-38   5.9e-37  122.4   0.0    32   200     1   150     1   150 0.94 -
d1a3ca_c.61.1.1      -            178 d1a3ca_c.61.1.1.aln  -            213   1.4e-08   29.7   1.2   1   1   3.1e-10   1.7e-08   29.4   1.2    39   181     9   152     3   175 0.74 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      hmmModels30/d1a3ca_c.61.1.1.hmm
# Target file:     scop/scopTestSeq.fasta
# Option settings: hmmsearch --domtblout hmmModels30/d1a3ca_c.61.1.1.out -E 1 hmmModels30/d1a3ca_c.61.1.1.hmm scop/scopTestSeq.fasta 
# Current dir:     /home/anastasia/SBAS/TME8
# Date:            Sat Apr  8 15:33:42 2023
# [ok]
#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
d1g41a_c.37.1.20     -            443 d1a5ta2c.37.1.20.aln -            280  5.4e-141  464.2   0.0   1   1  2.5e-142  8.2e-141  463.6   0.0     4   280     1   441     1   441 1.00 -
d1um8a_c.37.1.20     -            364 d1a5ta2c.37.1.20.aln -            280  1.8e-101  334.5   2.8   1   1  6.4e-103  2.1e-101  334.3   2.8     2   274     2   364     1   364 0.99 -
d1svma_c.37.1.20     -            362 d1a5ta2c.37.1.20.aln -            280   1.2e-74  246.5   0.0   1   1   4.2e-76   1.4e-74  246.3   0.0     1   279     9   358     9   359 0.99 -
d1r6bx3c.37.1.20     -            315 d1a5ta2c.37.1.20.aln -            280   1.1e-57  190.9   0.1   1   1   3.6e-59   1.2e-57  190.8   0.1     2   279     7   312     6   313 0.99 -
d1g8pa_c.37.1.20     -            333 d1a5ta2c.37.1.20.aln -            280   7.4e-50  165.2   0.0   1   1   2.5e-51   8.3e-50  165.0   0.0     2   279    10   330     9   331 0.99 -
